country,countryf,hyperlink,fulllink,flagLoRes,Country,flagHiRes
afghanistan,Afghanistan,http://results.usaid.gov/,http://results.usaid.gov/afghanistan,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/lo/AF.png,AFGHANISTAN,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/hi/AF.png
democratic-republic-congo,Democratic Republic of the Congo,http://results.usaid.gov/,http://results.usaid.gov/democratic-republic-congo,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/lo/CD.png,DEMOCRATIC REPUBLIC OF THE CONGO,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/hi/CD.png
ethiopia,Ethiopia,http://results.usaid.gov/,http://results.usaid.gov/ethiopia,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/lo/ET.png,ETHIOPIA,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/hi/ET.png
ghana,Ghana,http://results.usaid.gov/,http://results.usaid.gov/ghana,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/lo/GH.png,GHANA,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/hi/GH.png
kenya,Kenya,http://results.usaid.gov/,http://results.usaid.gov/kenya,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/lo/KE.png,KENYA,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/hi/KE.png
liberia,Liberia,http://results.usaid.gov/,http://results.usaid.gov/liberia,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/lo/LR.png,LIBERIA,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/hi/LR.png
malawi,Malawi,http://results.usaid.gov/,http://results.usaid.gov/malawi,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/lo/MW.png,MALAWI,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/hi/MW.png
mozambique,Mozambique,http://results.usaid.gov/,http://results.usaid.gov/mozambique,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/lo/MZ.png,MOZAMBIQUE,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/hi/MZ.png
nigeria,Nigeria,http://results.usaid.gov/,http://results.usaid.gov/nigeria,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/lo/NG.png,NIGERIA,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/hi/NG.png
rwanda,Rwanda,http://results.usaid.gov/,http://results.usaid.gov/rwanda,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/lo/RW.png,RWANDA,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/hi/RW.png
senegal,Senegal,http://results.usaid.gov/,http://results.usaid.gov/senegal,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/lo/SN.png,SENEGAL,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/hi/SN.png
south-sudan,South Sudan,http://results.usaid.gov/,http://results.usaid.gov/south-sudan,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/lo/SS.png,SOUTH SUDAN,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/hi/SS.png
tanzania,Tanzania,http://results.usaid.gov/,http://results.usaid.gov/tanzania,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/lo/TZ.png,TANZANIA,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/hi/TZ.png
uganda,Uganda,http://results.usaid.gov/,http://results.usaid.gov/uganda,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/lo/UG.png,UGANDA,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/hi/UG.png
bangladesh,Bangladesh,http://results.usaid.gov/,http://results.usaid.gov/bangladesh,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/lo/BD.png,BANGLADESH,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/hi/BD.png
india,India,http://results.usaid.gov/,http://results.usaid.gov/india,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/lo/IN.png,INDIA,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/hi/IN.png
indonesia,Indonesia,http://results.usaid.gov/,http://results.usaid.gov/indonesia,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/lo/ID.png,INDONESIA,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/hi/ID.png
nepal,Nepal,http://results.usaid.gov/,http://results.usaid.gov/nepal,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/lo/NP.png,NEPAL,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/hi/NP.png
philippines,Philippines,http://results.usaid.gov/,http://results.usaid.gov/philippines,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/lo/PH.png,PHILIPPINES,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/hi/PH.png
timor-leste,Timor-Leste,http://results.usaid.gov/,http://results.usaid.gov/timor-leste,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/lo/TL.png,TIMOR-LESTE,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/hi/TL.png
armenia,Armenia,http://results.usaid.gov/,http://results.usaid.gov/armenia,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/lo/AM.png,ARMENIA,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/hi/AM.png
bosnia-and-herzegovina,Bosnia and Herzegovina,http://results.usaid.gov/,http://results.usaid.gov/bosnia-and-herzegovina,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/lo/BA.png,BOSNIA AND HERZEGOVINA,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/hi/BA.png
georgia,Georgia,http://results.usaid.gov/,http://results.usaid.gov/georgia,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/lo/GE.png,GEORGIA,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/hi/GE.png
kosovo,Kosovo,http://results.usaid.gov/,http://results.usaid.gov/kosovo,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/lo/XK.png,KOSOVO,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/hi/XK.png
ukraine,Ukraine,http://results.usaid.gov/,http://results.usaid.gov/ukraine,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/lo/UA.png,UKRAINE,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/hi/UA.png
el-salvador,El Salvador,http://results.usaid.gov/,http://results.usaid.gov/el-salvador,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/lo/SV.png,EL SALVADOR,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/hi/SV.png
guatemala,Guatemala,http://results.usaid.gov/,http://results.usaid.gov/guatemala,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/lo/GT.png,GUATEMALA,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/hi/GT.png
haiti,Haiti,http://results.usaid.gov/,http://results.usaid.gov/haiti,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/lo/HT.png,HAITI,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/hi/HT.png
honduras,Honduras,http://results.usaid.gov/,http://results.usaid.gov/honduras,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/lo/HN.png,HONDURAS,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/hi/HN.png
nicaragua,Nicaragua,http://results.usaid.gov/,http://results.usaid.gov/nicaragua,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/lo/NI.png,NICARAGUA,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/hi/NI.png
peru,Peru,http://results.usaid.gov/,http://results.usaid.gov/peru,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/lo/PE.png,PERU,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/hi/PE.png
iraq,Iraq,http://results.usaid.gov/,http://results.usaid.gov/iraq,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/lo/IQ.png,IRAQ,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/hi/IQ.png
jordan,Jordan,http://results.usaid.gov/,http://results.usaid.gov/jordan,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/lo/JO.png,JORDAN,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/hi/JO.png
morocco,Morocco,http://results.usaid.gov/,http://results.usaid.gov/morocco,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/lo/MA.png,MOROCCO,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/hi/MA.png
west-bank-and-gaza,West Bank-Gaz,http://results.usaid.gov/,http://results.usaid.gov/west-bank-and-gaza,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/lo/PS.png,WEST BANK-GAZ,http://results.usaid.gov/sites/all/themes/usaid-dtr/images/flags/hi/PS.png
